business_name,category_desc,street,city,post_code,latitude,longitude,reviews_count,review_score,hygiene_score,place_id,BusinessName,PostCode,RatingValue,compare_name,compare_post
Western Fried Chicken,Fried chicken takeaway,325 Greenford Ave,London,W7 1JH,51.522629,-0.3399753,34,3.5,,ChIJK14DIIUSdkgRnNHwoxFUBh8,Western Fried Chicken,W7 1JH,4,,
KFC Greenford,"Fast food restaurant, Chicken restaurant, Chicken wings restaurant, Fried chicken takeaway, Takeout Restaurant",1 The Broadway,Greenford,UB6 9PH,51.5275446,-0.3532645,531,3.1,,ChIJlSuRtZcSdkgRiK5ECuLR3Cg,,,,,
Al,"Kebab shop, Fast food restaurant",147 The Broadway,Southall,UB1 1LP,51.5118867,-0.3826503,129,3.9,,ChIJf2pgKqpydkgRLqXgTcC3KHI,,,,,
Bengal Lancer,Indian restaurant,15 Royal Parade,Chislehurst,BR7 6NR,51.411285,0.0762263,119,4.2,,ChIJ5wXJoeyr2EcRPFFioNRQAtU,Bengal Lancer,BR7 6NR,4,,
The Greyhound Sydenham,Gastropub,313-315 Kirkdale,London,SE26 4QB,51.4269506,-0.0555034,973,4.3,,ChIJFXLaD3wBdkgRQJjvoTPG24M,,,,,
Van Dough Pizza,"Pizza restaurant, Mobile caterer, Pizza Takeout, Wedding buffet",22 Vancouver Rd,London,SE23 2AF,51.4394948,-0.0358183,32,4.9,,ChIJL0R_eSUCdkgR8IKIP3PeM5o,,,,,
Babur,"Indian restaurant, Asian restaurant, Bar, Indian takeaway, South Asian restaurant",119 Brockley Rise,London,SE23 1JP,51.4474197,-0.0420028,878,4.6,,ChIJw4LAETQCdkgR1C87idsdJR0,,,,,
Ferfect Fried Chicken,"Fried chicken takeaway, Fast food restaurant",24 London Rd,London,SE23 3HF,51.4395207,-0.0548333,57,3.8,,ChIJDX7_r9EDdkgRX7voAllkcmw,,,,,
Five Guys Dulwich Deliveroo Editions,"Hamburger restaurant, American restaurant, Fast food restaurant, Hot dog restaurant, Hot dog stand, Takeout Restaurant, Restaurant","Deliveroo Editions, 70 Malham Rd",London,SE23 1AG,51.4427682,-0.0473048,80,5,,ChIJrW2NaakDdkgRnaOFFolq0CE,,,,,
Horniman Cafe,"Restaurant, Cafe",100 London Rd,London,SE23 3PQ,51.4412058,-0.0613726,397,4,,ChIJSzwgydoDdkgRF5_0mPScfKI,,,,,
New World Chinese,"Chinese takeaway, Asian fusion restaurant, Asian restaurant, Cantonese restaurant, Chinese restaurant, Delivery Chinese restaurant, Delivery Restaurant, Restaurant, Thai restaurant, Udon noodle restaurant",49 Perry Hill,London,SE6 4LF,51.4376127,-0.0334247,61,4.2,,ChIJs3StDsADdkgR05oLKJ82jxY,,,,,
Le Querce Restaurant,"Italian restaurant, Bar",66-68 Brockley Rise,London,SE23 1LN,51.447956,-0.0408876,238,4.6,,ChIJgcbTmDYCdkgReTwvifXztJM,,,,,
Metro's,"Chicken shop, Chicken restaurant, Chicken wings restaurant, Hamburger restaurant, Pizza delivery, Pizza restaurant, Pizza Takeout",337 Stanstead Rd,London,SE6 4UE,51.442098,-0.0329853,74,4.1,,ChIJVSj0zzoCdkgR0ZiZiAyWQqw,Metro's,SE6 4UE,AwaitingInspection,,
Sema's Cafe,"Cafe, Breakfast restaurant, Coffee shop, English restaurant, Takeout Restaurant, Tea house","St Georges Parade, Perry Hill",London,SE6 4DT,51.4387872,-0.0333379,186,4.7,,ChIJXcm6CiUCdkgRQjo5Urxb9BA,Sema's Cafe,SE6 4DT,AwaitingInspection,,
Morley's Forest Hill,"Chicken shop, Fast food restaurant, Fried chicken takeaway",5 Westbourne Dr,London,SE23 2ND,51.4398078,-0.0511327,89,4.2,,ChIJKfltW9IDdkgRvaI_FEMiUXw,,,,,
The Bird in Hand,"Restaurant, Bar, Pub",35 Dartmouth Rd,London,SE23 3HN,51.4379379,-0.0543026,178,4.3,,ChIJ9_WwE9EDdkgRLOHTaWpp77Q,,,,,
Cobb's Corner Cafe Caribbean and European food,"Cafe, Breakfast restaurant",260 Kirkdale,London,SE26 4RS,51.4267997,-0.0559274,409,4.3,,ChIJxUtJiXwBdkgR6bWXH2IeSwA,,,,,
Cherry Take Away House,"Chinese takeaway, Chinese restaurant","Hong Kong House, 57 Perry Hill",London,SE6 4LF,51.4372918,-0.0335386,78,4.3,,ChIJD8pXei7LcUEROTGnxRmXysQ,Cherry Take Away House,SE6 4LF,3,,
Golden City,"Chinese takeaway, Chinese restaurant","Golden City, 145 Stanstead Rd",London,SE23 1HH,51.4423891,-0.0461766,46,4.5,,ChIJSzGxsDICdkgR2vHS9kqOrpM,,,,,
The Burger Depot,"Hamburger restaurant, Takeout Restaurant",89 Greenford Ave,London,W7 1HA,51.5152402,-0.3372479,127,4.8,,ChIJV9_tbYISdkgR2os4o4wNITU,The Burger Depot,W7 1HA,3,,
Pizza Hut Delivery,"Pizza restaurant, Pizza delivery, Pizza Takeout, Restaurant",197 Greenford Rd,Greenford,UB6 8QY,51.5285036,-0.3522103,139,3.3,,ChIJq_IUOZYSdkgRCGKcnU1Mn8k,,,,,
Mandos Pizza,Pizza Takeout,265 Allenby Rd,Southall,UB1 2HD,51.5251121,-0.3646445,75,3.9,,ChIJiy4CjuATdkgRQaWaOlP1cyA,,,,,
Quattordici Italian Restaurant Chislehurst,Italian restaurant,14 Royal Parade,Chislehurst,BR7 6NR,51.4113013,0.0761784,353,4.6,,ChIJpf7iZeur2EcRKu0GPK6W82A,,,,,
The Greek Way,"Mobile caterer, Caterer, Takeout Restaurant","26 MARION CRESCENT, ORPINGTON, BROMLEY ORPINGTON",Kent,BR5 2DD,51.3899508,0.1064358,114,4.7,,ChIJc55ExzOt2EcRCEvAKUt1Dlc,The Greek Way,BR5 2DD,5,,
Bengal Clipper,Restaurant,82 Cotmandene Cres,Orpington,BR5 2RG,51.4036043,0.1054724,0,,,ChIJR6aMHm6s2EcRm__nOTZjND4,,,,,
New Island Fish Bar,"Fish and chips takeaway, Fast food restaurant",2 Perry Vale,London,SE23 2LD,51.4398993,-0.0515465,20,4.1,,ChIJtXeSPtIDdkgRfgyVvfLHiRc,,,,,
Thai Garden & kawaii sushi catford,"Thai restaurant, Asian restaurant, Chinese takeaway, Delivery Restaurant, Takeout Restaurant, Sushi takeaway",17 Catford Hill,London,SE6 4NU,51.4430387,-0.0269689,137,3.5,,ChIJNVAJ5jwCdkgRNiiD6uO1V5g,,,,,
Mr Pizza,"Pizza delivery, Cake shop, Chicken wings restaurant, Fast food restaurant, Hamburger restaurant, Delivery Restaurant, Takeout Restaurant, Pasta shop, Pizza restaurant, Pizza Takeout","Lewisham, 223 Dartmouth Rd",London,SE26 4QY,51.4325192,-0.0598134,39,4.2,,ChIJNzoUP9gDdkgRNWux02rQHoQ,Mr Pizza,SE26 4QY,2,,
Leo Vegan & Vegetarian Cafe,"Cafe, Breakfast restaurant, Cake shop, Coffee shop, Coworking space, Event venue, Live music venue, Lunch restaurant, Restaurant supply store, Vegan restaurant",24 Sydenham Rd,London,SE26 5QW,51.4262558,-0.0534105,28,5,,ChIJIVeg-qYBdkgRhDeuunR7gl8,,,,,
Jolly Bee Fish and Chips London,"Fish and chips takeaway, Fast food restaurant",3 Devonshire Rd,London,SE23 3HE,51.4393711,-0.05387,150,4.1,,ChIJ11AumNEDdkgRavtdiyvpyGQ,,,,,
No 41 Coffee & Kitchen,"Coffee shop, Bakery, Breakfast restaurant, Brunch restaurant, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Sandwich shop, Tea store, Vegetarian cafe and deli",41 Brockley Rise,London,SE23 1JG,51.4440647,-0.0428023,221,4.6,,ChIJ8z0xSzICdkgRy9McWT7TrGU,,,,,
Fireaway Pizza Forest Hill,Italian restaurant,Perry Vale,London,SE23 2NE,51.4395194,-0.0519507,29,4.3,,ChIJzZzBoScDdkgRDtUpIq9Mpos,,,,,
Pizza Go Go Sydenham,"Pizza delivery, Fast food restaurant, Pizza Takeout",129 Sydenham Rd,London,SE26 5HB,51.4258665,-0.0479949,119,3.4,,ChIJafV3TX8BdkgRCOgX5hNiZs8,,,,,
Fayrooz,"Mediterranean restaurant, Lebanese restaurant, Takeout Restaurant, Middle Eastern restaurant, Restaurant",4 Catford Broadway,London,SE6 4SP,51.4449268,-0.0227119,321,4.1,,ChIJyU3WOhYCdkgRJ9ArBm7U_3I,Fayrooz,SE6 4SP,4,,
161 FoodDrink,"Restaurant, Beer store, Wine bar, Wine store",161 Kirkdale,London,SE26 4QJ,51.4310146,-0.0594725,149,4.7,,ChIJP0m3CdgDdkgRdoG6MpOCF3s,,,,,
German Doner Kebab,"Kebab shop, Family restaurant, Fast food restaurant, Halal restaurant, Restaurant",4c The Broadway,Greenford,UB6 9PR,51.5272341,-0.3527188,361,3.7,,ChIJycRNWfATdkgRyPtJ7n9ffq8,,,,,
Oodles Southall,Chinese restaurant,166 The Broadway,Southall,UB1 1NN,51.5124113,-0.3836922,386,4.3,,ChIJ5ae1zMhzdkgRr1l2Wz5-mBY,,,,,
Master Lin Chinese Takeaway,Chinese takeaway,"Bamboo House Chinese Take Away, 75 Dartmouth Rd",London,SE23 3HT,51.4365029,-0.0547906,26,4,,ChIJ2fBwMtEDdkgRJQWzpuwxmsg,,,,,
Tops Pizza,"Pizza delivery, Pizza restaurant, Pizza Takeout",9 High St,Southall,UB1 3HA,51.5112454,-0.3747174,323,4.1,,ChIJ77Vqs08NdkgRmOkce6CdUjw,,,,,
Brown & Green Cafe,"Cafe, Breakfast restaurant, Coffee shop","Mayow Park, Sydenham Recreation Ground",London,SE26 4JA,51.4288782,-0.0471019,290,4.2,,ChIJsyahZX8BdkgRRj8mTAt8Xoc,,,,,
Miss Margherita,"Pizza restaurant, Italian restaurant",76-78 Honor Oak Park,London,SE23 1DY,51.4496787,-0.0446453,564,4.4,,ChIJhbuaHDUCdkgRKirD_4BHwSY,,,,,
Jhakaas,Indian takeaway,78 Brockley Rise,London,SE23 1LN,51.4481073,-0.0406198,103,4.2,,ChIJj7Eeub8DdkgRTv8iYktSe3k,,,,,
Tigers Head,"Restaurant, Pub",Watt's Ln,Chislehurst,BR7 5PJ,51.4090551,0.0744276,1091,4.2,,ChIJzWzI87-r2EcR0hFttuXUomA,Tigers Head,BR7 5PJ,5,,
Shaon Restaurant,"Indian restaurant, Asian restaurant, South Asian restaurant",109 High St,Chislehurst,BR7 5AG,51.4198184,0.0653519,127,4.5,,ChIJDc31P8Or2EcRC9p_qRtjJJE,Shaon Restaurant,BR7 5AG,5,,
