title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName,url
Taberu Kingston,3.4,125,35 High St,Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJS3JCfpgLdkgRx4yyZ0p4t6A
Boat Restaurant,4.5,200,8 St James' Rd,Surbiton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ3QZArqgLdkgRNj4nqPLjTJQ
ROKA Canary Wharf,4.4,1324,"4, Park Pavillion, 40 Canada Square",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJlyAZQ7cCdkgR8AfWRKEh1rE
Super Sushi,4.5,170,"The Liberty Shopping Centre, 8 Stewards Walk",Romford,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJjy2NkpGl2EcRXexRddWzw1s
Ikigai Sushi,2.3,82,94A Northwold Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJRSM90VscdkgRnl9U8vTmwT4
Fuji Japanese Restaurant,3.9,322,15 Stoke Newington Church St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJK2DHS2EcdkgRq6nL6_sLgJk
Hitachi Sushi Bar,4.9,188,"Opposite TKMAX Inside the Woolwich Market, 125 Powis St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJMcEyfgKp2EcRFskuYT-94nk
Whashoku Sushi & Bar,,0,23 Royal Crest Ave.,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJR1J4iH2p2EcRYorIbWExKjI
Sushi Daily Canary Wharf,3.1,21,"16-19 Canada Square, Canada Place",London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZ2FJ7OIDdkgRdsF7svnk8pE
Sushi saito,2.5,6,5 Empson St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJcZWaQ8kddkgR55s2azO9VQo
itsu - Jubilee Place,3.8,139,"28a Bank St, Jubilee",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJGVDHVdMcdkgRRgZI0wqJOcU
Pham Sushi,4.3,283,159 Whitecross St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJbVjBMagcdkgRKLK_j8afT6s
Yoshida Sushi,3.9,137,100 Norwood High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJM68_7-sHdkgR1duElRF5vSw
Yuriko,4.3,155,48 Brick Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJp720kbUcdkgR0lJdqc2v0WE
SUSHI HANDROLL,4.3,44,60 Knights Hill,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJr2jSedQFdkgRAf2pC0n6_Dw
Kumi Sushi,3.5,226,90 Brick Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ9epbg7UcdkgRjARW4ZELbng
itsu,3.7,66,Canada Place,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ6T_wpbACdkgR7nzkbHKvxkc
Sami Sushi,,0,"79 Amhurst Road Lower, Greater",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJlcRY8fAcdkgRNukqAolUFQ8
IRO Sushi,4.2,246,"Flat 6, Brighton Bldg, 60 Tower Bridge Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJJdy4O10DdkgRShUVQN37_7A
Hibagon Sushi & Grill,4.3,204,124 Kirkdale,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJEZX-ctgDdkgRwy7akcxBCo0
Sushi Garden - London,4.4,316,103 Dartmouth Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJP_TUeDADdkgRWw_ze9elXww
Edo,4.3,240,18 Westow Hill,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJPdl_908BdkgR5gwz5p6hST0
Hayaku Sushi Cafe ハヤク寿司カフェ,4.4,250,207 Maple Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ0WUVeiEBdkgRBC0RMyS6uKY
Yama Momo,4.4,624,72 Lordship Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJjXD-rpYDdkgRwK5-CxXco2k
Oze Sushi,4.4,91,335 Sydenham Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJSV6D7bcBdkgRElU7o3etLBY
Sydenham Sushi & Noodle Bar (Delivery 3 Miles),5,4,176 Dartmouth Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJGbNq9YcDdkgREMNJ2exiTyM
Fuji Sushi & Noodles,4.8,73,103 High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ3Z3B8HoBdkgRp11D_-hs-oA
Sushi Revolution,4.8,191,240 Ferndale Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJe2lsHdIFdkgRTINJSJa7NEM
TEMAKI,4.6,153,12 market row,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJH6C6GO0FdkgRmRXKiX0o2LI
Tsunami Clapham,4.4,1048,"Tsunami Restaurant, 5-7 Voltaire Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJsdJAU1AEdkgRlBEM_EzxetI
Syba Sushi,4.6,9,103 Streatham Hill,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ1Rzq5-AFdkgRtS9Mr-KUdOE
SW9 Restaurant,4.3,207,62 Brixton Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJF1NfM28EdkgRqClIABtAetQ
Wasabi Sushi & Bento,4.4,63,119 Putney High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJk5pJkI8PdkgRiejv0wm-Z3I
Sushi Daily,4,1,566 London Rd,Sutton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJgSr0OyQJdkgRJNuxAbTu1xQ
The Sushi Co - Putney,4.6,122,82 Putney High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJg-kxuYgPdkgROyl4y8W7vO0
Sushi Daily Kingston,4.5,2,Wood St,Kingston upon Thames,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJY-4hWJULdkgRC4VFjP3mq4U
Sushi54 Limited,4.3,62,54 Lower Richmond Rd.,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNW6YKgkPdkgRYphe4i-bOcQ
Sushi Daily Surbiton,3.3,4,15a Claremont Rd,Surbiton,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJJZCFIBALdkgRrUBwNzcHrp0
